SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,18-64 yrs,Rural North,05/11/2024,19,2024,10,581,1.721170396,Very Low,15,352,4.261364,Low,0,225,0,Very Low,,,,,,386509,0,,,0,,,Very Low,,,33,0,0,0,0,0,0,,,
2023/2024,All Ages,Greater Sierra-Sacramento,05/11/2024,19,2024,281,6734,4.172854173,Low,155,3610,4.293629,Low,14,2207,0.634345,Very Low,,,,,,2973210,101,,,3.397001894,,,Low,,,493,3,1,0,0.608519,0.20284,0,,,
2023/2024,>64 yrs,California,05/11/2024,19,2024,1026,28163,3.643077797,Low,278,15573,1.785141,Very Low,26,10783,0.24112,Very Low,,,,,,6221657,499,,,8.020371422,,,Low,,,4073,28,6,1,0.687454,0.147312,0.024552,,,
2023/2024,All Ages,Bay Area,05/11/2024,19,2024,1145,42546,2.691204814,Very Low,411,9128,4.502629,Low,20,6655,0.300526,Very Low,,,,,,8391874,282,,,3.360393638,,,Low,,,1130,12,6,0,1.061947,0.530973,0,,,
2023/2024,All Ages,Rural North,05/11/2024,19,2024,33,1111,2.97029703,Very Low,37,898,4.120267,Low,2,615,0.325203,Very Low,,,,,,683715,0,,,0,,,Very Low,,,142,2,0,0,1.408451,0,0,,,
2023/2024,0-17 yrs,Rural North,05/18/2024,20,2024,4,256,1.5625,Very Low,14,237,5.907173,Low,2,153,1.30719,Low,,,,,,151044,0,,,0,,,Very Low,,,,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Central California,05/18/2024,20,2024,240,7554,3.177124702,Low,134,2361,5.675561,Low,2,1480,0.135135,Very Low,,,,,,2620187,23,,,0.8777999433,,,Very Low,,,171,3,0,0,1.754386,0,0,,,
2023/2024,>64 yrs,Rural North,05/18/2024,20,2024,21,241,8.713692946,Moderate,2,240,0.833333,Very Low,0,170,0,Very Low,,,,,,146162,1,,,0.6841723567,,,Very Low,,,116,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,California,05/18/2024,20,2024,427,22191,1.924203506,Very Low,713,12193,5.847617,Low,39,8716,0.447453,Very Low,,,,,,8694111,41,,,0.4715835811,,,Very Low,,,54,1,0,0,1.851852,0,0,11,19,7
2023/2024,0-17 yrs,Central California,05/18/2024,20,2024,58,3232,1.794554455,Very Low,131,1782,7.351291,Low,2,1295,0.15444,Very Low,,,,,,1246767,6,,,0.4812446913,,,Very Low,,,8,0,0,0,0,0,0,,,
2023/2024,All Ages,Rural North,05/18/2024,20,2024,57,1018,5.599214145,Low,39,823,4.738761,Low,2,517,0.386847,Very Low,,,,,,683715,1,,,0.146259772,,,Very Low,,,148,0,0,0,0,0,0,,,
2023/2024,All Ages,California,05/18/2024,20,2024,3453,110991,3.111063059,Low,1805,51504,3.504582,Low,104,34922,0.297807,Very Low,,,0.5,0.4,0,39109070,781,,,1.996979217,,,Very Low,,,5275,41,6,1,0.777251,0.113744,0.018957,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,05/18/2024,20,2024,150,3516,4.266211604,Low,100,1537,6.506181,Low,0,880,0,Very Low,,,,,,1788686,23,,,1.285860123,,,Very Low,,,114,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Los Angeles,05/18/2024,20,2024,316,14211,2.223629583,Very Low,151,5036,2.998411,Low,4,2797,0.14301,Very Low,,,,,,6291153,41,,,0.6517088362,,,Very Low,,,286,4,0,0,1.398601,0,0,,,
2023/2024,>64 yrs,California,05/18/2024,20,2024,1212,26888,4.507587028,Low,243,15493,1.56845,Very Low,20,10674,0.187371,Very Low,,,,,,6221657,577,,,9.274056734,,,Low,,,4034,31,4,1,0.768468,0.099157,0.024789,,,
2023/2024,All Ages,Southern California,05/18/2024,20,2024,733,23868,3.071057483,Low,387,12934,2.992114,Low,32,7452,0.429415,Very Low,,,,,,12802429,117,,,0.9138890753,,,Very Low,,,1707,6,4,0,0.351494,0.234329,0,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,05/18/2024,20,2024,40,1522,2.628120894,Very Low,113,1231,9.179529,Moderate,4,677,0.590842,Very Low,,,,,,673877,2,,,0.296790067,,,Very Low,,,2,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Los Angeles,05/18/2024,20,2024,202,8902,2.269152999,Very Low,36,3300,1.090909,Very Low,2,2148,0.09311,Very Low,,,,,,1558959,88,,,5.644792454,,,Low,,,945,5,1,0,0.529101,0.10582,0,,,
2023/2024,All Ages,Los Angeles,05/18/2024,20,2024,592,27054,2.18821616,Very Low,318,10616,2.995479,Low,17,6418,0.26488,Very Low,,,,,,9825708,134,,,1.36376941,,,Very Low,,,1249,9,1,0,0.720576,0.080064,0,,,
2023/2024,All Ages,Greater Sierra-Sacramento,05/18/2024,20,2024,306,6701,4.566482614,Low,237,3814,6.213949,Low,5,2233,0.223914,Very Low,,,,,,2973210,104,,,3.49790294,,,Low,,,488,3,0,1,0.614754,0,0.204918,,,
2023/2024,18-64 yrs,Southern California,05/18/2024,20,2024,372,12713,2.926138598,Very Low,181,5345,3.386342,Low,7,2606,0.268611,Very Low,,,,,,7861790,18,,,0.2289554923,,,Very Low,,,370,0,1,0,0,0.27027,0,,,
2023/2024,>64 yrs,Southern California,05/18/2024,20,2024,262,5816,4.504814305,Low,81,4480,1.808036,Very Low,13,2478,0.524617,Very Low,,,,,,1990514,77,,,3.868347573,,,Low,,,1319,5,3,0,0.379075,0.227445,0,,,
2023/2024,0-17 yrs,Southern California,05/18/2024,20,2024,99,5335,1.855670103,Very Low,125,3109,4.020585,Low,12,2368,0.506757,Very Low,,,,,,2950125,22,,,0.7457311131,,,Very Low,,,18,1,0,0,5.555556,0,0,,,
2023/2024,0-17 yrs,Los Angeles,05/18/2024,20,2024,74,3933,1.881515383,Very Low,131,2279,5.748135,Low,11,1472,0.747283,Very Low,,,,,,1975596,5,,,0.253088182,,,Very Low,,,18,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,California,05/18/2024,20,2024,1798,61878,2.905717703,Very Low,836,23801,3.512457,Low,29,15515,0.186916,Very Low,,,,,,24193302,163,,,0.6737401947,,,Very Low,,,1187,9,2,0,0.758214,0.168492,0,,,
2023/2024,All Ages,Bay Area,05/18/2024,20,2024,1302,38503,3.381554684,Low,449,8753,5.12967,Low,12,6294,0.190658,Very Low,,,,,,8391874,308,,,3.670217165,,,Low,,,1048,15,1,0,1.431298,0.09542,0,,,
2023/2024,All Ages,Central California,05/18/2024,20,2024,428,12955,3.303743728,Low,285,5425,5.253456,Low,5,3618,0.138198,Very Low,,,,,,4432134,117,,,2.639811883,,,Very Low,,,635,8,0,0,1.259843,0,0,,,
2023/2024,0-17 yrs,Bay Area,05/18/2024,20,2024,150,7819,1.918403888,Very Low,179,2589,6.913866,Low,7,1876,0.373134,Very Low,,,,,,1696702,6,,,0.3536272133,,,Very Low,,,8,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Rural North,05/18/2024,20,2024,32,521,6.142034549,Low,23,346,6.647399,Low,0,194,0,Very Low,,,,,,386509,0,,,0,,,Very Low,,,32,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Bay Area,05/18/2024,20,2024,464,7839,5.919122337,Low,72,2475,2.909091,Low,2,1893,0.105652,Very Low,,,,,,1450195,244,,,16.82532349,,,Moderate,,,826,13,0,0,1.57385,0,0,,,
2023/2024,>64 yrs,Central California,05/18/2024,20,2024,130,2168,5.996309963,Low,20,1282,1.560062,Very Low,1,843,0.118624,Very Low,,,,,,565180,88,,,15.5702608,,,Moderate,,,456,5,0,0,1.096491,0,0,,,
2023/2024,18-64 yrs,Bay Area,05/18/2024,20,2024,672,22824,2.94426919,Very Low,198,3689,5.367308,Low,3,2525,0.118812,Very Low,,,,,,5244977,58,,,1.105819911,,,Very Low,,,214,2,1,0,0.934579,0.46729,0,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,05/18/2024,20,2024,116,1663,6.975345761,Low,24,1046,2.294455,Low,1,676,0.147929,Very Low,,,,,,510647,79,,,15.47056969,,,Moderate,,,372,3,0,1,0.806452,0,0.268817,,,
2023/2024,>64 yrs,Central California,05/25/2024,21,2024,126,2074,6.075216972,Low,19,1238,1.534733,Very Low,0,824,0,Very Low,,,,,,565180,68,,,12.03156517,,,Low,,,432,2,0,0,0.462963,0,0,,,
2023/2024,18-64 yrs,Los Angeles,05/25/2024,21,2024,416,16289,2.55387071,Very Low,160,5080,3.149606,Low,3,2861,0.104858,Very Low,,,,,,6291153,45,,,0.7152901861,,,Very Low,,,283,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,05/25/2024,21,2024,140,1561,8.968609865,Moderate,18,1043,1.725791,Very Low,1,666,0.15015,Very Low,,,,,,510647,86,,,16.84137966,,,Moderate,,,339,3,0,1,0.884956,0,0.294985,,,
2023/2024,>64 yrs,California,05/25/2024,21,2024,1474,28033,5.258088681,Low,245,15244,1.60719,Very Low,20,10491,0.19064,Very Low,,,,,,6221657,515,,,8.27753764,,,Low,,,3955,34,3,3,0.859671,0.075853,0.075853,,,
2023/2024,All Ages,Southern California,05/25/2024,21,2024,838,23921,3.503198027,Low,370,12661,2.92236,Low,16,7172,0.22309,Very Low,,,,,,12802429,126,,,0.9841882349,,,Very Low,,,1698,9,3,0,0.530035,0.176678,0,,,
2023/2024,0-17 yrs,Southern California,05/25/2024,21,2024,95,4737,2.005488706,Very Low,126,2873,4.38566,Low,9,2196,0.409836,Very Low,,,,,,2950125,11,,,0.3728655565,,,Very Low,,,20,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Bay Area,05/25/2024,21,2024,568,8227,6.904096268,Low,50,2470,2.024291,Low,7,1955,0.358056,Very Low,,,,,,1450195,187,,,12.89481759,,,Low,,,842,16,0,1,1.900238,0,0.118765,,,
2023/2024,18-64 yrs,Central California,05/25/2024,21,2024,220,7234,3.04119436,Low,120,2318,5.176877,Low,1,1500,0.066667,Very Low,,,,,,2620187,35,,,1.335782522,,,Very Low,,,147,1,0,0,0.680272,0,0,,,
2023/2024,All Ages,Los Angeles,05/25/2024,21,2024,781,30361,2.572379039,Very Low,326,10749,3.03284,Low,14,6459,0.216752,Very Low,,,,,,9825708,145,,,1.47572063,,,Very Low,,,1221,6,1,1,0.4914,0.0819,0.0819,,,
2023/2024,18-64 yrs,Southern California,05/25/2024,21,2024,427,13300,3.210526316,Low,159,5357,2.968079,Low,4,2497,0.160192,Very Low,,,,,,7861790,39,,,0.4960702334,,,Very Low,,,369,2,1,0,0.542005,0.271003,0,,,
2023/2024,0-17 yrs,Rural North,05/25/2024,21,2024,12,262,4.580152672,Low,14,213,6.57277,Low,1,142,0.704225,Very Low,,,,,,151044,0,,,0,,,Very Low,,,2,0,0,0,0,0,0,,,
2023/2024,All Ages,California,05/25/2024,21,2024,4002,114283,3.501833169,Low,1674,50643,3.305491,Low,84,34136,0.246075,Very Low,,,0.5,0.4,0,39109070,769,,,1.966295798,,,Very Low,,,5177,39,4,4,0.753332,0.077265,0.077265,,,
2023/2024,All Ages,Greater Sierra-Sacramento,05/25/2024,21,2024,389,6588,5.904675167,Low,184,3700,4.972973,Low,5,2180,0.229358,Very Low,,,,,,2973210,108,,,3.632437668,,,Low,,,447,3,0,1,0.671141,0,0.223714,,,
2023/2024,18-64 yrs,Bay Area,05/25/2024,21,2024,762,22656,3.363347458,Low,197,3781,5.210262,Low,8,2512,0.318471,Very Low,,,,,,5244977,76,,,1.449005401,,,Very Low,,,223,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Bay Area,05/25/2024,21,2024,149,8057,1.84932357,Very Low,167,2529,6.603401,Low,17,1854,0.916936,Very Low,,,,,,1696702,9,,,0.5304408199,,,Very Low,,,9,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,California,05/25/2024,21,2024,2064,64091,3.220420964,Low,762,23628,3.224987,Low,22,15240,0.144357,Very Low,,,,,,24193302,217,,,0.8969424678,,,Very Low,,,1160,5,1,0,0.431034,0.086207,0,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,05/25/2024,21,2024,63,1520,4.144736842,Low,90,1198,7.512521,Low,2,673,0.297177,Very Low,,,,,,673877,0,,,0,,,Very Low,,,5,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,California,05/25/2024,21,2024,462,22137,2.087003659,Very Low,667,11770,5.66695,Low,42,8405,0.499703,Very Low,,,,,,8694111,37,,,0.4255754269,,,Very Low,,,62,0,0,1,0,0,1.612903,11,19,7
2023/2024,>64 yrs,Southern California,05/25/2024,21,2024,316,5884,5.370496261,Low,85,4431,1.918303,Very Low,3,2479,0.121017,Very Low,,,,,,1990514,76,,,3.818109292,,,Low,,,1309,7,2,0,0.534759,0.152788,0,,,
2023/2024,All Ages,Rural North,05/25/2024,21,2024,71,998,7.114228457,Low,26,748,3.475936,Low,4,458,0.873362,Very Low,,,,,,683715,4,,,0.5850390879,,,Very Low,,,144,2,0,1,1.388889,0,0.694444,,,
2023/2024,18-64 yrs,Rural North,05/25/2024,21,2024,37,529,6.994328923,Low,9,313,2.875399,Low,0,171,0,Very Low,,,,,,386509,0,,,0,,,Very Low,,,35,2,0,0,5.714286,0,0,,,
2023/2024,0-17 yrs,Los Angeles,05/25/2024,21,2024,79,4253,1.857512344,Very Low,112,2261,4.95356,Low,5,1419,0.352361,Very Low,,,,,,1975596,6,,,0.3037058184,,,Very Low,,,12,0,0,1,0,0,8.333333,,,
2023/2024,>64 yrs,Los Angeles,05/25/2024,21,2024,286,9805,2.916879143,Very Low,54,3408,1.584507,Very Low,6,2179,0.275356,Very Low,,,,,,1558959,94,,,6.029664667,,,Low,,,926,6,1,0,0.647948,0.107991,0,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,05/25/2024,21,2024,186,3507,5.303678358,Low,76,1459,5.209047,Low,2,841,0.237812,Very Low,,,,,,1788686,22,,,1.229953161,,,Very Low,,,103,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Rural North,05/25/2024,21,2024,22,207,10.62801932,Moderate,3,222,1.351351,Very Low,3,145,2.068966,Low,,,,,,146162,4,,,2.736689427,,,Very Low,,,107,0,0,1,0,0,0.934579,,,
2023/2024,All Ages,Bay Area,05/25/2024,21,2024,1481,38946,3.802701176,Low,414,8780,4.715262,Low,32,6321,0.506249,Very Low,,,,,,8391874,272,,,3.241230743,,,Low,,,1074,16,0,1,1.489758,0,0.09311,,,
2023/2024,0-17 yrs,Central California,05/25/2024,21,2024,61,3216,1.896766169,Very Low,134,1739,7.705578,Low,3,1242,0.241546,Very Low,,,,,,1246767,11,,,0.882281934,,,Very Low,,,14,0,0,0,0,0,0,,,
2023/2024,All Ages,Central California,05/25/2024,21,2024,407,12525,3.249500998,Low,273,5295,5.155807,Low,4,3566,0.11217,Very Low,,,,,,4432134,114,,,2.572124399,,,Very Low,,,593,3,0,0,0.505902,0,0,,,
2023/2024,All Ages,Bay Area,06/01/2024,22,2024,1796,43083,4.16869763,Low,465,8721,5.331957,Low,27,6208,0.434923,Very Low,,,,,,8391874,337,,,4.01578956,,,Low,,,1054,13,1,0,1.233397,0.094877,0,,,
2023/2024,All Ages,Los Angeles,06/01/2024,22,2024,851,29676,2.867637148,Very Low,349,10736,3.250745,Low,18,6479,0.277821,Very Low,,,,,,9825708,147,,,1.496075397,,,Very Low,,,1252,7,0,1,0.559105,0,0.079872,,,
2023/2024,18-64 yrs,Southern California,06/01/2024,22,2024,507,11579,4.378616461,Low,190,5528,3.437048,Low,2,2638,0.075815,Very Low,,,,,,7861790,30,,,0.3815924872,,,Very Low,,,374,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Los Angeles,06/01/2024,22,2024,464,15876,2.922650542,Very Low,192,5123,3.747804,Low,4,2861,0.139811,Very Low,,,,,,6291153,49,,,0.7788715359,,,Very Low,,,340,2,0,0,0.588235,0,0,,,
2023/2024,All Ages,Central California,06/01/2024,22,2024,495,11864,4.172285907,Low,290,5324,5.447032,Low,3,3689,0.081323,Very Low,,,,,,4432134,102,,,2.301374462,,,Very Low,,,617,2,1,0,0.324149,0.162075,0,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,06/01/2024,22,2024,51,1363,3.741746148,Low,81,1100,7.363636,Low,2,566,0.353357,Very Low,,,,,,673877,0,,,0,,,Very Low,,,4,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Bay Area,06/01/2024,22,2024,660,8515,7.751027598,Low,58,2467,2.351034,Low,12,1868,0.642398,Very Low,,,,,,1450195,252,,,17.37697344,,,Moderate,,,834,10,0,0,1.199041,0,0,,,
2023/2024,>64 yrs,Los Angeles,06/01/2024,22,2024,321,9850,3.258883249,Low,55,3483,1.579098,Very Low,3,2263,0.132567,Very Low,,,,,,1558959,94,,,6.029664667,,,Low,,,903,5,0,1,0.55371,0,0.110742,,,
2023/2024,>64 yrs,Rural North,06/01/2024,22,2024,39,244,15.98360656,High,2,241,0.829876,Very Low,0,160,0,Very Low,,,,,,146162,9,,,6.15755121,,,Low,,,96,2,0,0,2.083333,0,0,,,
2023/2024,>64 yrs,Central California,06/01/2024,22,2024,144,2208,6.52173913,Low,23,1270,1.811024,Very Low,3,888,0.337838,Very Low,,,,,,565180,67,,,11.85463038,,,Low,,,429,1,1,0,0.2331,0.2331,0,,,
2023/2024,0-17 yrs,Southern California,06/01/2024,22,2024,101,4144,2.437258687,Very Low,125,2759,4.530627,Low,13,2179,0.596604,Very Low,,,,,,2950125,15,,,0.5084530317,,,Very Low,,,16,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,California,06/01/2024,22,2024,2503,64449,3.88369098,Low,909,23621,3.848271,Low,14,15181,0.092221,Very Low,,,,,,24193302,228,,,0.9424095975,,,Very Low,,,1233,6,1,0,0.486618,0.081103,0,,,
2023/2024,All Ages,Greater Sierra-Sacramento,06/01/2024,22,2024,484,6320,7.658227848,Low,186,3601,5.165232,Low,2,2059,0.097135,Very Low,,,,,,2973210,129,,,4.338744993,,,Low,,,489,5,0,0,1.022495,0,0,,,
2023/2024,0-17 yrs,Rural North,06/01/2024,22,2024,8,229,3.493449782,Low,10,229,4.366812,Low,1,142,0.704225,Very Low,,,,,,151044,0,,,0,,,Very Low,,,1,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,California,06/01/2024,22,2024,493,21546,2.288127727,Very Low,641,11280,5.682624,Low,36,8127,0.442968,Very Low,,,,,,8694111,28,,,0.3220570798,,,Very Low,,,51,0,0,0,0,0,0,11,19,7
2023/2024,All Ages,Rural North,06/01/2024,22,2024,79,1023,7.722385142,Low,18,811,2.219482,Low,1,492,0.203252,Very Low,,,,,,683715,10,,,1.46259772,,,Very Low,,,129,2,0,0,1.550388,0,0,,,
2023/2024,All Ages,Southern California,06/01/2024,22,2024,978,21273,4.597376957,Low,388,12613,3.076191,Low,19,7129,0.266517,Very Low,,,,,,12802429,135,,,1.054487395,,,Very Low,,,1764,12,1,1,0.680272,0.056689,0.056689,,,
2023/2024,>64 yrs,Southern California,06/01/2024,22,2024,370,5545,6.672678088,Low,73,4326,1.687471,Very Low,4,2312,0.17301,Very Low,,,,,,1990514,90,,,4.521445215,,,Low,,,1374,12,1,1,0.873362,0.07278,0.07278,,,
2023/2024,0-17 yrs,Central California,06/01/2024,22,2024,78,2921,2.670318384,Very Low,127,1644,7.725061,Low,0,1231,0,Very Low,,,,,,1246767,0,,,0,,,Very Low,,,11,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,06/01/2024,22,2024,177,1513,11.69861203,Moderate,25,1011,2.472799,Low,0,644,0,Very Low,,,,,,510647,92,,,18.01635964,,,Moderate,,,385,5,0,0,1.298701,0,0,,,
2023/2024,18-64 yrs,Central California,06/01/2024,22,2024,272,6734,4.039204039,Low,140,2410,5.809129,Low,0,1570,0,Very Low,,,,,,2620187,35,,,1.335782522,,,Very Low,,,177,1,0,0,0.564972,0,0,,,
2023/2024,0-17 yrs,Los Angeles,06/01/2024,22,2024,66,3938,1.675977654,Very Low,102,2130,4.788732,Low,11,1355,0.811808,Very Low,,,,,,1975596,4,,,0.2024705456,,,Very Low,,,9,0,0,0,0,0,0,,,
2023/2024,All Ages,California,06/01/2024,22,2024,4731,114172,4.143748029,Low,1804,49997,3.608216,Low,72,33512,0.214848,Very Low,,,0.7,0.4,0,39109070,860,,,2.198978396,,,Very Low,,,5305,41,3,2,0.772856,0.05655,0.0377,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,06/01/2024,22,2024,256,3444,7.433217189,Low,80,1490,5.369128,Low,0,849,0,Very Low,,,,,,1788686,37,,,2.068557589,,,Very Low,,,100,0,0,0,0,0,0,,,
2023/2024,>64 yrs,California,06/01/2024,22,2024,1734,28153,6.159201506,Low,254,15096,1.682565,Very Low,22,10204,0.215602,Very Low,,,,,,6221657,604,,,9.708024727,,,Low,,,4021,35,2,2,0.87043,0.049739,0.049739,,,
2023/2024,0-17 yrs,Bay Area,06/01/2024,22,2024,185,8831,2.094892991,Very Low,167,2469,6.763872,Low,7,1822,0.384193,Very Low,,,,,,1696702,9,,,0.5304408199,,,Very Low,,,10,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Bay Area,06/01/2024,22,2024,951,25731,3.695930978,Low,240,3785,6.340819,Low,8,2518,0.317712,Very Low,,,,,,5244977,76,,,1.449005401,,,Very Low,,,210,3,1,0,1.428571,0.47619,0,,,
2023/2024,18-64 yrs,Rural North,06/01/2024,22,2024,32,550,5.818181818,Low,6,341,1.759531,Very Low,0,190,0,Very Low,,,,,,386509,1,,,0.2587261875,,,Very Low,,,32,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,California,06/08/2024,23,2024,571,20759,2.750614191,Very Low,563,10440,5.39272,Low,31,7644,0.405547,Very Low,,,,,,8694111,16,,,0.184032617,,,Very Low,,,61,0,0,0,0,0,0,11,19,7
2023/2024,18-64 yrs,Southern California,06/08/2024,23,2024,577,13125,4.396190476,Low,228,5415,4.210526,Low,8,2500,0.32,Very Low,,,,,,7861790,38,,,0.4833504838,,,Very Low,,,407,0,2,0,0,0.4914,0,,,
2023/2024,>64 yrs,Los Angeles,06/08/2024,23,2024,367,10480,3.501908397,Low,53,3404,1.556992,Very Low,2,2096,0.09542,Very Low,,,,,,1558959,116,,,7.440862781,,,Low,,,935,7,1,0,0.748663,0.106952,0,,,
2023/2024,18-64 yrs,Rural North,06/08/2024,23,2024,42,507,8.284023669,Moderate,5,321,1.557632,Very Low,0,180,0,Very Low,,,,,,386509,1,,,0.2587261875,,,Very Low,,,35,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,California,06/08/2024,23,2024,3028,67515,4.484929275,Low,986,23632,4.172309,Low,33,15241,0.216521,Very Low,,,,,,24193302,205,,,0.8473419627,,,Very Low,,,1271,6,4,0,0.472069,0.314713,0,,,
2023/2024,>64 yrs,Bay Area,06/08/2024,23,2024,771,8816,8.745462795,Moderate,57,2494,2.285485,Low,10,1915,0.522193,Very Low,,,,,,1450195,291,,,20.06626695,,,Moderate,,,850,11,4,0,1.294118,0.470588,0,,,
2023/2024,18-64 yrs,Central California,06/08/2024,23,2024,332,6591,5.037171901,Low,113,2262,4.995579,Low,2,1490,0.134228,Very Low,,,,,,2620187,2,,,0.07633042985,,,Very Low,,,191,2,1,0,1.04712,0.52356,0,,,
2023/2024,All Ages,Greater Sierra-Sacramento,06/08/2024,23,2024,535,6245,8.566853483,Moderate,165,3481,4.740017,Low,2,2076,0.096339,Very Low,,,,,,2973210,119,,,4.002408172,,,Low,,,460,4,0,0,0.869565,0,0,,,
2023/2024,0-17 yrs,Bay Area,06/08/2024,23,2024,215,8938,2.405459834,Very Low,172,2316,7.426598,Low,10,1741,0.574383,Very Low,,,,,,1696702,4,,,0.2357514755,,,Very Low,,,10,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Southern California,06/08/2024,23,2024,102,3833,2.661100965,Very Low,114,2541,4.486423,Low,10,1956,0.511247,Very Low,,,,,,2950125,2,,,0.06779373755,,,Very Low,,,25,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Rural North,06/08/2024,23,2024,6,219,2.739726027,Very Low,3,181,1.657459,Very Low,0,114,0,Very Low,,,,,,151044,0,,,0,,,Very Low,,,1,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Los Angeles,06/08/2024,23,2024,81,3561,2.274641954,Very Low,77,1929,3.991706,Low,8,1246,0.642055,Very Low,,,,,,1975596,10,,,0.506176364,,,Very Low,,,15,0,0,0,0,0,0,,,
2023/2024,All Ages,California,06/08/2024,23,2024,5625,117791,4.775407289,Low,1810,49517,3.65531,Low,83,33207,0.249947,Very Low,,,0.7,0.3,0,39109070,885,,,2.262902186,,,Very Low,,,5331,48,10,0,0.900394,0.187582,0,,,
2023/2024,18-64 yrs,Los Angeles,06/08/2024,23,2024,563,16770,3.35718545,Low,200,5035,3.972195,Low,4,2691,0.148644,Very Low,,,,,,6291153,62,,,0.985510923,,,Very Low,,,302,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Southern California,06/08/2024,23,2024,459,6052,7.584269663,Low,74,4447,1.664043,Very Low,4,2325,0.172043,Very Low,,,,,,1990514,118,,,5.928117059,,,Low,,,1297,16,1,0,1.233616,0.077101,0,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,06/08/2024,23,2024,287,3454,8.309206717,Moderate,90,1489,6.044325,Low,0,840,0,Very Low,,,,,,1788686,24,,,1.341767085,,,Very Low,,,111,0,0,0,0,0,0,,,
2023/2024,All Ages,Rural North,06/08/2024,23,2024,76,923,8.234019502,Moderate,14,760,1.842105,Very Low,0,445,0,Very Low,,,,,,683715,3,,,0.4387793159,,,Very Low,,,148,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Central California,06/08/2024,23,2024,97,2844,3.41068917,Low,121,1603,7.548347,Low,1,1198,0.083472,Very Low,,,,,,1246767,0,,,0,,,Very Low,,,7,0,0,0,0,0,0,,,
2023/2024,>64 yrs,California,06/08/2024,23,2024,2020,29485,6.850941157,Low,259,15440,1.677461,Very Low,19,10317,0.184162,Very Low,,,,,,6221657,664,,,10.67239804,,,Low,,,3999,42,6,0,1.050263,0.150038,0,,,
2023/2024,All Ages,Southern California,06/08/2024,23,2024,1142,23022,4.960472591,Low,416,12403,3.354027,Low,22,6781,0.324436,Very Low,,,,,,12802429,158,,,1.234140802,,,Very Low,,,1729,16,3,0,0.92539,0.173511,0,,,
2023/2024,>64 yrs,Rural North,06/08/2024,23,2024,28,197,14.21319797,High,6,258,2.325581,Low,0,151,0,Very Low,,,,,,146162,2,,,1.368344713,,,Very Low,,,112,0,0,0,0,0,0,,,
2023/2024,All Ages,Los Angeles,06/08/2024,23,2024,1011,30826,3.279698955,Low,330,10368,3.18287,Low,14,6033,0.232057,Very Low,,,,,,9825708,188,,,1.913348127,,,Very Low,,,1252,7,1,0,0.559105,0.079872,0,,,
