SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,>64 yrs,Rural North,09/09/2023,36,2023,84,364,23.07692308,Very High,0,176,0,Very Low,0,93,0,Very Low,,,,,,,,,,,,,,,,121,5,1,0,4.132231,0.826446,0,,,
2023/2024,0-17 yrs,Rural North,09/09/2023,36,2023,36,248,14.51612903,High,0,121,0,Very Low,0,59,0,Very Low,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Bay Area,09/09/2023,36,2023,2264,25483,8.884354275,Moderate,32,2014,1.588878,Very Low,14,1432,0.977654,Very Low,,,,,,,,,,,,,,,,236,2,0,0,0.847458,0,0,,,
2023/2024,All Ages,Los Angeles,09/09/2023,36,2023,5558,48974,11.348879,Moderate,88,9719,0.905443,Very Low,19,3700,0.513514,Very Low,,,,,,,,,,,,,,,,1253,38,0,0,3.032721,0,0,,,
2023/2024,>64 yrs,California,09/09/2023,36,2023,5142,43875,11.71965812,Moderate,89,10424,0.853799,Very Low,14,4882,0.286768,Very Low,,,,,,,,,,,,,,,,3990,119,2,0,2.982456,0.050125,0,,,
2023/2024,All Ages,California,09/09/2023,36,2023,18645,159392,11.69757579,Moderate,444,36094,1.230121,Very Low,162,17849,0.907614,Very Low,,,2,0.1,0,,,,,,,,,,,5296,133,5,2,2.511329,0.094411,0.037764,,,
2023/2024,All Ages,Bay Area,09/09/2023,36,2023,3938,44291,8.891196857,Moderate,100,4456,2.244165,Low,81,3536,2.290724,Low,,,,,,,,,,,,,,,,1044,18,0,0,1.724138,0,0,,,
2023/2024,All Ages,Central California,09/09/2023,36,2023,2000,17937,11.15013659,Moderate,50,3002,1.665556,Very Low,2,2364,0.084602,Very Low,,,,,,,,,,,,,,,,625,11,1,1,1.76,0.16,0.16,,,
2023/2024,>64 yrs,Central California,09/09/2023,36,2023,481,3745,12.84379172,Moderate,13,716,1.815642,Very Low,0,555,0,Very Low,,,,,,,,,,,,,,,,464,10,1,0,2.155172,0.215517,0,,,
2023/2024,0-17 yrs,Los Angeles,09/09/2023,36,2023,714,5696,12.53511236,Moderate,25,1839,1.359434,Very Low,13,980,1.326531,Low,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,,,
